A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,F,G,G,G,G,G
P2Y12,ETB,PAF,PAR1,CCR7,CXCR2,OX1,OX2,CCK1,KOR,MOR,DOR,GHSR,NTS1,FPR2,NK1,Apelin,AT2,CCR6,CysLT1,PAR2,P2Y1,CXCR4,NPY2R,NPY1R,OT,C5a1,DP2,CCR2,LT4R,CCR5,US28,A1,A2a,EP4,EP2,TXA2R,MT1,MT2,RHO,FFA1,M5,M2,M3,M4,M1,5-HT1f,5-HT2b,B1-AR,B2-AR,D2,5-HT2a,5-HT2c,D3,MC4R,LPA1,S1P3,CB2,CB1,S1P1
11,0,5,0,0,0,0,0,0,0,0,0,2,0,9,0,4,10,0,2,11,27,0,0,14,0,1,12,5,10,0,6,0,7,7,0,11,1,1,3,0,0,0,0,1,0,0,3,2,0,0,3,0,0,0,0,0,6,0,0
0,0,,4,,,16,0,,1,0,0,,12,,,,,,,,20,2,,,,,,,,0,3,0,0,,,,,,1,1,,0,0,0,0,,3,3,0,,,,0,,0,,,8,0
0,0,,4,,,4,0,,6,0,0,,1,,,,,,,,25,2,,,,,,,,8,2,6,0,,,,,,1,0,,0,0,0,0,,9,2,0,,,,0,,0,,,7,1
16,0,,7,,,0,0,,0,0,0,,7,,,,,,,,6,2,,,,,,,,0,0,9,0,,,,,,4,0,,0,0,0,0,,8,3,1,,,,0,,0,,,0,0
0,0,,0,,,0,0,,0,0,0,,1,,,,,,,,14,5,,,,,,,,10,1,8,0,,,,,,4,0,,1,0,0,0,,9,1,0,,,,0,,0,,,0,0
0,0,,1,,,3,0,,8,0,0,,3,,,,,,,,17,3,,,,,,,,2,1,5,0,,,,,,0,0,,1,0,0,0,,10,2,0,,,,0,,14,,,3,0
0,0,,0,,,0,0,,0,0,0,,5,,,,,,,,10,2,,,,,,,,0,4,9,0,,,,,,0,0,,0,0,0,0,,7,0,3,,,,0,,1,,,0,0
5,0,,9,,,0,0,,0,0,0,,5,,,,,,,,26,2,,,,,,,,2,4,0,0,,,,,,0,0,,2,0,0,0,,4,3,0,,,,0,,2,,,1,0
3,0,,0,,,0,9,,0,0,0,,4,,,,,,,,15,1,,,,,,,,0,0,8,0,,,,,,2,0,,0,0,0,0,,10,6,0,,,,0,,1,,,0,0
3,0,,7,,,0,1,,0,0,0,,1,,,,,,,,16,1,,,,,,,,0,2,5,0,,,,,,1,0,,1,0,0,0,,8,2,0,,,,0,,7,,,0,0
0,0,,8,,,0,3,,0,0,0,,11,,,,,,,,20,2,,,,,,,,21,2,4,0,,,,,,0,0,,8,0,0,0,,6,9,0,,,,0,,0,,,1,0
0,0,,1,,,0,0,,0,0,0,,0,,,,,,,,29,0,,,,,,,,0,1,0,0,,,,,,4,2,,0,0,0,0,,8,1,0,,,,0,,0,,,1,2
0,0,,0,,,0,0,,0,0,0,,0,,,,,,,,18,0,,,,,,,,8,1,0,0,,,,,,2,8,,0,0,0,0,,7,4,3,,,,0,,4,,,0,0
