A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,F,G,G,G,G,G
P2Y12,ETB,PAF,PAR1,CCR7,CXCR2,OX1,OX2,CCK1,KOR,MOR,DOR,GHSR,NTS1,FPR2,NK1,Apelin,AT2,CCR6,CysLT1,PAR2,P2Y1,CXCR4,NPY2R,NPY1R,OT,C5a1,DP2,CCR2,LT4R,CCR5,US28,A1,A2a,EP4,EP2,TXA2R,MT1,MT2,RHO,FFA1,M5,M2,M3,M4,M1,5-HT1f,5-HT2b,B1-AR,B2-AR,D2,5-HT2a,5-HT2c,D3,MC4R,LPA1,S1P3,CB2,CB1,S1P1
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,0,0,0,1,0,0,0,0,0,0,4,8,22,34,29,13,0,0,0,0,0,0,1,0,7,1,0,0,0,0,0,0,3,4,15,2
0,0,,6,,,0,0,,0,0,0,,0,,,,,,,,9,0,,,,,,,,0,0,0,0,,,,,,14,7,,0,3,0,1,,0,0,2,,,,0,,0,,,4,1
0,0,,6,,,0,0,,0,0,0,,0,,,,,,,,15,0,,,,,,,,0,0,0,0,,,,,,18,3,,0,10,5,0,,0,0,2,,,,0,,0,,,3,4
0,0,,21,,,0,0,,0,0,0,,0,,,,,,,,13,0,,,,,,,,0,0,0,0,,,,,,14,5,,0,0,0,0,,0,0,1,,,,0,,0,,,0,2
0,0,,6,,,0,0,,0,0,0,,0,,,,,,,,13,0,,,,,,,,0,0,0,0,,,,,,24,10,,0,1,1,0,,0,0,2,,,,0,,1,,,1,6
0,0,,5,,,0,0,,0,0,0,,0,,,,,,,,11,0,,,,,,,,0,0,0,0,,,,,,15,9,,0,0,0,0,,0,5,8,,,,0,,0,,,4,2
0,0,,2,,,0,0,,0,0,0,,0,,,,,,,,17,0,,,,,,,,0,0,0,0,,,,,,15,9,,0,0,0,0,,0,5,1,,,,0,,1,,,0,1
0,0,,15,,,0,0,,0,0,0,,0,,,,,,,,7,0,,,,,,,,0,0,0,0,,,,,,10,24,,0,0,0,0,,0,4,1,,,,0,,1,,,0,2
0,0,,17,,,0,0,,0,0,0,,2,,,,,,,,17,0,,,,,,,,0,0,0,0,,,,,,18,8,,0,0,2,1,,0,2,8,,,,0,,3,,,1,8
0,0,,1,,,0,1,,0,0,0,,0,,,,,,,,11,0,,,,,,,,0,0,0,0,,,,,,13,10,,0,0,0,6,,0,1,7,,,,0,,2,,,3,4
0,0,,8,,,0,3,,1,0,0,,0,,,,,,,,15,0,,,,,,,,0,0,0,0,,,,,,7,7,,1,0,0,0,,0,1,0,,,,0,,0,,,1,1
0,0,,10,,,0,0,,0,0,0,,0,,,,,,,,13,0,,,,,,,,0,0,0,0,,,,,,9,14,,0,5,0,0,,0,0,16,,,,0,,0,,,1,3
0,1,,12,,,0,0,,0,0,0,,0,,,,,,,,14,0,,,,,,,,0,0,0,0,,,,,,13,15,,2,0,0,0,,0,0,1,,,,0,,0,,,0,6
0,0,,3,,,0,0,,0,0,0,,0,,,,,,,,0,0,,,,,,,,0,0,0,0,,,,,,17,8,,0,8,0,0,,0,0,0,,,,0,,7,,,2,2
0,0,,2,,,0,0,,0,0,0,,0,,,,,,,,13,0,,,,,,,,0,0,0,0,,,,,,8,0,,0,8,2,0,,0,0,10,,,,0,,3,,,1,5
0,0,,4,,,0,0,,0,0,0,,0,,,,,,,,0,0,,,,,,,,0,0,0,0,,,,,,14,2,,3,0,0,0,,0,1,5,,,,0,,1,,,4,3
0,0,,0,,,0,0,,0,0,0,,0,,,,,,,,5,0,,,,,,,,0,0,0,0,,,,,,12,0,,0,10,0,0,,2,0,5,,,,0,,0,,,1,5
